Азербайджана баку
Армении ереван
Афганистана кабул
Бангладеша дакка
Бахрейна манама
Бутана тхимпху
Восточный-Тиморы дили
Вьетнама ханой
Грузии тбилиси 
Израиля иерусалим 
Индии дели
Индонезии джакарта
Иордании амман
Ирака багдад
Ирана тегеран
Йемена сана 
Казахстана астана
Камбоджи пномпень
Катары доха
Кипры никосия
Киргизии бишкек
Китайской-Республики-(Тайвань) тайбэй
КНДР-(Северная-Корея)   пхеньян
Китая пекин
Лаоса вьентьян
Ливана бейрут
Мальдивы мале
Мьянми нейпьидо
Непала катманду
Пакистана исламабад
Республики-Кореи(Южная-Корея) сеул
Сингапура сингапур
Сирии дамаск
Таджикистана душанбе
Таиланда бангкок
Туркмении ашхабад
Турции анкара
Узбекистанф ташкент
Филиппин манила
Японии токио
